Am not interested in speculating about things.,V+II-,,V+,II-,,,,,
Am not interested in theoretical discussions.,V+II-,,V+,II-,,,,,
Am not sure where my life is going.,IV+III+,,IV+,III+,,,,,
Am often in a bad mood.,IV+II+,,IV+,II+,,,,,
Am often late to work.,III+III+,,III+,III+,,,,,
Am on good terms with nearly everyone.,II+IV+,,II+,IV+,,,,,
Am open about my feelings.,I+II+,,I+,II+,,,,,
Am open about myself to others.,I+III-,,I+,III-,,,,,
Am quick to judge others.,II+IV+,,II+,IV+,,,,,
Am quick to understand things.,V+IV+,,V+,IV+,,,,,
Am relaxed most of the time.,IV+V-,,IV+,V-,,,,,
Am sure of my ground.,IV+I+,,IV+,I+,,,,,
Am swayed by my emotions.,IV+V-,,IV+,V-,,,,,
Am the first to act.,I+V+,,I+,V+,,,,,
Am the life of the party.,I+I+,,I+,I+,,,,,
Amuse myself easily.,I+V-,,I+,V-,,,,,
Anticipate the needs of others.,II+V+,,II+,V+,,,,,
Appreciate good manners.,III+II+,,III+,II+,,,,,
Appreciate the viewpoints of others.,II+II+,,II+,II+,,,,,
Ask questions that nobody else does.,V+II-,,V+,II-,,,,,
Automatically take charge.,I+III+,,I+,III+,,,,,
Avoid contacts with others.,I+II+,,I+,II+,,,,,
Avoid philosophical discussions.,V+II-,,V+,II-,,,,,
Barge in on conversations.,IV+I-,,IV+,I-,,,,,
Become overwhelmed by events.,IV+V+,,IV+,V+,,,,,
Behave properly.,III+II+,,III+,II+,,,,,
Believe crying helps me feel better.,II+IV-,,II+,IV-,,,,,
Believe in a logical answer for everything.,III+II-,,III+,II-,,,,,
Believe in an eye for an eye.,III+II-,,III+,II-,,,,,
Believe in the importance of art.,V+III-,,V+,III-,,,,,
Believe only in myself.,II+V-,,II+,V-,,,,,
Believe people should fend for themselves.,II+III-,,II+,III-,,,,,
Believe that criminals should receive help rather than punishment.,III+II-,,III+,II-,,,,,
Believe that I am better than others.,II+V-,,II+,V-,,,,,
Blurt out whatever comes into my mind.,IV+I-,,IV+,I-,,,,,
Boast about my virtues.,I+II-,,I+,II-,,,,,
Break rules.,II+III+,,II+,III+,,,,,
Burst into tears.,IV+II-,,IV+,II-,,,,,
Can be stirred up easily.,IV+V-,,IV+,V-,,,,,
Can easily link facts together.,V+II-,,V+,II-,,,,,
Can easily push myself forward.,I+III+,,I+,III+,,,,,
Can handle a lot of information.,V+IV+,,V+,IV+,,,,,
Can handle complex problems.,V+IV+,,V+,IV+,,,,,
Can stand criticism.,IV+V+,,IV+,V+,,,,,
Can take strong measures.,I+II-,,I+,II-,,,,,
Can't be bothered with other's needs.,II+II+,,II+,II+,,,,,
Can't come up with new ideas.,V+I+,,V+,I+,,,,,
Can't concentrate.,IV+III+,,IV+,III+,,,,,
Can't do without the company of others.,I+V-,,I+,V-,,,,,
Can't make up my mind.,III+IV+,,III+,IV+,,,,,
Can't stand being alone.,V+I-,,V+,I-,,,,,
Can't stand being contradicted.,IV+III-,,IV+,III-,,,,,
Can't stand confrontations.,I+II-,,I+,II-,,,,,
Carry out my plans.,III+IV+,,III+,IV+,,,,,
Carry the conversation to a higher level.,V+I+,,V+,I+,,,,,
Catch on to things quickly.,V+IV+,,V+,IV+,,,,,
Challenge others' points of view.,V+II-,,V+,II-,,,,,
Check over my work.,III+II+,,III+,II+,,,,,
Cherish mementos.,II+IV-,,II+,IV-,,,,,
Come straight to the point.,III+II-,,III+,II-,,,,,
Come up with a solution right away.,I+III+,,I+,III+,,,,,
Come up with bold plans.,V+I+,,V+,I+,,,,,
Comment loudly about others.,II+I-,,II+,I-,,,,,
Complete tasks successfully.,III+V+,,III+,V+,,,,,
Consider myself an average person.,V+II-,,V+,II-,,,,,
Continue until everything is perfect.,III+IV-,,III+,IV-,,,,,
Contradict others.,II+IV+,,II+,IV+,,,,,
Criticize others' shortcomings.,II+IV+,,II+,IV+,,,,,
Cry during movies.,IV+II-,,IV+,II-,,,,,
Cry easily.,IV+II-,,IV+,II-,,,,,
Dare to say anything.,I+II-,,I+,II-,,,,,
Demand attention.,IV+I-,,IV+,I-,,,,,
Demand obedience.,IV+III-,,IV+,III-,,,,,
Demand perfection in others.,III+IV-,,III+,IV-,,,,,
Demand quality.,III+V+,,III+,V+,,,,,
Demand to be the center of interest.,I+IV-,,I+,IV-,,,,,
Detect mistakes.,III+V+,,III+,V+,,,,,
Disclose my intimate thoughts.,I+III-,,I+,III-,,,,,
Dislike imperfect work.,III+II-,,III+,II-,,,,,
Dislike learning.,V+V+,,V+,V+,,,,,
Dislike myself.,IV+I+,,IV+,I+,,,,,
Dislike neighbors living too close.,I+V-,,I+,V-,,,,,
Dislike routine.,III+V-,,III+,V-,,,,,
Dislike talking about myself.,I+IV-,,I+,IV-,,,,,
Disregard rules.,III+II+,,III+,II+,,,,,
Do a lot in my spare time.,I+III+,,I+,III+,,,,,
Do crazy things.,III+I-,,III+,I-,,,,,
Do dangerous things.,II+I-,,II+,I-,,,,,
Do improper things.,III+II+,,III+,II+,,,,,
Do most of the talking.,I+IV-,,I+,IV-,,,,,
Do not enjoy going to art museums.,V+III-,,V+,III-,,,,,
Do not enjoy watching dance performances.,V+II+,,V+,II+,,,,,
Do not like art.,V+III-,,V+,III-,,,,,
Do not like concerts.,V+II+,,V+,II+,,,,,
Do not like poetry.,V+III-,,V+,III-,,,,,
Do not plan ahead.,III+III+,,III+,III+,,,,,
Do the opposite of what is asked.,III+II+,,III+,II+,,,,,
Do things according to a plan.,III+III+,,III+,III+,,,,,
Do things at my own pace.,V+I-,,V+,I-,,,,,
Do things at the last minute.,III+IV+,,III+,IV+,,,,,
Do things by the book.,III+V-,,III+,V-,,,,,
Do things I later regret.,IV+III+,,IV+,III+,,,,,
Do things in a logical order.,III+II-,,III+,II-,,,,,
Don't call people just to talk.,II+IV-,,II+,IV-,,,,,
Don't care about dressing nicely.,II+IV-,,II+,IV-,,,,,
Don't care about rules.,II+III+,,II+,III+,,,,,
Don't fall for sob-stories.,II+III-,,II+,III-,,,,,
Don't get excited about things.,II+IV-,,II+,IV-,,,,,
Don't have a soft side.,II+V+,,II+,V+,,,,,
Don't know why I do some of the things I do.,IV+III+,,IV+,III+,,,,,
Don't like crowded events.,I+V-,,I+,V-,,,,,
Don't like to ponder over things.,V+I-,,V+,I-,,,,,
Don't lose my head.,IV+V+,,IV+,V+,,,,,
Don't mind being the center of attention.,I+II-,,I+,II-,,,,,
Don't mind eating alone.,V+I-,,V+,I-,,,,,
Don't pay attention.,III+V+,,III+,V+,,,,,
Don't see things through.,III+IV+,,III+,IV+,,,,,
Don't think laws apply to me.,III+II+,,III+,II+,,,,,
Don't understand people who get emotional.,II+IV-,,II+,IV-,,,,,
Don't understand things.,V+IV+,,V+,IV+,,,,,
Easily resist temptations.,IV+III+,,IV+,III+,,,,,
Enjoy being on the go.,I+V-,,I+,V-,,,,,
Enjoy being part of a loud crowd.,I+V-,,I+,V-,,,,,
Enjoy being reckless.,II+I-,,II+,I-,,,,,
Enjoy contemplation.,V+I-,,V+,I-,,,,,
Enjoy crude jokes.,II+I-,,II+,I-,,,,,
Enjoy discussing movies and books with others.,V+II+,,V+,II+,,,,,
Enjoy examining myself and my life.,V+IV-,,V+,IV-,,,,,
Enjoy my privacy.,V+I-,,V+,I-,,,,,
Enjoy silence.,I+V-,,I+,V-,,,,,
Enjoy spending time by myself.,V+I-,,V+,I-,,,,,
Enjoy the beauty of nature.,V+II+,,V+,II+,,,,,
Enjoy thinking about things.,V+V+,,V+,V+,,,,,
Enjoy wild flights of fantasy.,V+III-,,V+,III-,,,,,
Excel in what I do.,V+III+,,V+,III+,,,,,
Expect dedicated work from others.,III+IV-,,III+,IV-,,,,,
Experience my emotions intensely.,IV+V-,,IV+,V-,,,,,
Experience very few emotional highs and lows.,IV+V-,,IV+,V-,,,,,
Express childlike joy.,I+III-,,I+,III-,,,,,
Express myself easily.,I+V+,,I+,V+,,,,,
Feel comfortable around people.,I+IV+,,I+,IV+,,,,,
Feel comfortable with myself.,IV+I+,,IV+,I+,,,,,
Feel crushed by setbacks.,IV+V+,,IV+,V+,,,,,
Feel others' emotions.,II+I+,,II+,I+,,,,,
Feel sympathy for those who are worse off than myself.,II+III-,,II+,III-,,,,,
Find it hard to forgive others.,II+IV+,,II+,IV+,,,,,
Finish what I start.,III+I+,,III+,I+,,,,,
Follow a schedule.,III+V-,,III+,V-,,,,,
Follow directions.,III+II+,,III+,II+,,,,,
Follow through on my commitments.,III+V+,,III+,V+,,,,,
Follow through with my plans.,III+I+,,III+,I+,,,,,
Frequently forget to do things.,III+I+,,III+,I+,,,,,
Get a head start on others.,III+II-,,III+,II-,,,,,
Get chores done right away.,III+I+,,III+,I+,,,,,
Get furious.,IV+II+,,IV+,II+,,,,,
Get out of control.,IV+III+,,IV+,III+,,,,,
Get to work at once.,III+IV+,,III+,IV+,,,,,
Give up easily.,I+IV+,,I+,IV+,,,,,
Go my own way.,I+V-,,I+,V-,,,,,
Go out of my way for others.,II+V-,,II+,V-,,,,,
Handle tasks smoothly.,III+IV+,,III+,IV+,,,,,
Hate to seem pushy.,I+II-,,I+,II-,,,,,
Have a good word for everyone.,II+IV+,,II+,IV+,,,,,
Have a lot of fun.,I+IV+,,I+,IV+,,,,,
Have a point of view all my own.,V+I-,,V+,I-,,,,,
Have a poor vocabulary.,V+V+,,V+,V+,,,,,
Have a rich vocabulary.,V+V+,,V+,V+,,,,,
Have a soft heart.,II+V-,,II+,V-,,,,,
Have a vivid imagination.,V+III-,,V+,III-,,,,,
Have an eye for detail.,III+V+,,III+,V+,,,,,
Have crying fits.,IV+II-,,IV+,II-,,,,,
Have days when I'm mad at the world.,IV+II+,,IV+,II+,,,,,
Have difficulty expressing my feelings.,I+V+,,I+,V+,,,,,
Have difficulty starting tasks.,III+I+,,III+,I+,,,,,
Have excellent ideas.,V+I+,,V+,I+,,,,,
Have no sympathy for criminals.,III+II-,,III+,II-,,,,,
Impose my will on others.,II+I-,,II+,I-,,,,,
Inquire about others' well-being.,II+I+,,II+,I+,,,,,
Joke around a lot.,I+III-,,I+,III-,,,,,
Jump into things without thinking.,III+I-,,III+,I-,,,,,
Keep a sharp eye on others' work.,III+IV-,,III+,IV-,,,,,
Keep my checkbook balanced.,III+III+,,III+,III+,,,,,
Keep my cool.,IV+IV+,,IV+,IV+,,,,,
Keep my emotions under control.,IV+I-,,IV+,I-,,,,,
Keep my thoughts to myself.,I+I+,,I+,I+,,,,,
Keep myself well-groomed.,III+II+,,III+,II+,,,,,
Keep others at a distance.,I+II+,,I+,II+,,,,,
Keep up an appearance.,IV+III-,,IV+,III-,,,,,
Know how to apply my knowledge.,V+III+,,V+,III+,,,,,
Know how to captivate people.,I+V+,,I+,V+,,,,,
Know how to comfort others.,II+I+,,II+,I+,,,,,
Know how to cope.,IV+V+,,IV+,V+,,,,,
Know how to get around the rules.,I+II-,,I+,II-,,,,,
Know no limits.,I+II-,,I+,II-,,,,,
Know the answers to many questions.,V+II-,,V+,II-,,,,,
Know what I want.,I+III+,,I+,III+,,,,,
Laugh at the slightest provocation.,III+I-,,III+,I-,,,,,
Laugh my way through life.,I+III-,,I+,III-,,,,,
Learn quickly.,V+III+,,V+,III+,,,,,
Leave my work undone.,III+III+,,III+,III+,,,,,
Let my attention wander off.,III+II-,,III+,II-,,,,,
Let myself be pushed around.,I+III+,,I+,III+,,,,,
Let myself go.,I+III-,,I+,III-,,,,,
Let others finish what they are saying.,IV+I-,,IV+,I-,,,,,
Let others make the decisions.,I+V+,,I+,V+,,,,,
Let people pull my leg.,III+II-,,III+,II-,,,,,
Like harmony in my life.,II+III+,,II+,III+,,,,,
Like music.,V+II+,,V+,II+,,,,,
Like order.,III+V-,,III+,V-,,,,,
Like to act on a whim.,III+I-,,III+,I-,,,,,
Like to amuse others.,I+III-,,I+,III-,,,,,
Like to attract attention.,I+IV-,,I+,IV-,,,,,
Like to be alone.,I+V-,,I+,V-,,,,,
Like to be of service to others.,II+II+,,II+,II+,,,,,
Like to do things for others.,II+III-,,II+,III-,,,,,
Like to get lost in thought.,V+IV-,,V+,IV-,,,,,
Like to gossip.,IV+I-,,IV+,I-,,,,,
Like to laugh out loud.,III+I-,,III+,I-,,,,,
Like to plan ahead.,III+III+,,III+,III+,,,,,
Like to please others.,II+V-,,II+,V-,,,,,
Like to solve complex problems.,V+II-,,V+,II-,,,,,
Like to tidy up.,III+V-,,III+,V-,,,,,
Listen to my brain rather than my heart.,II+III-,,II+,III-,,,,,
Listen to my conscience.,II+I-,,II+,I-,,,,,
Listen to my heart rather than my brain.,II+IV-,,II+,IV-,,,,,
Live in a world of my own.,V+I-,,V+,I-,,,,,
Look at the bright side of life.,IV+I+,,IV+,I+,,,,,
Look at the facts.,V+III+,,V+,III+,,,,,
Look down on any weakness.,II+III-,,II+,III-,,,,,
Look for hidden meanings in things.,V+IV-,,V+,IV-,,,,,
Lose my temper.,IV+II+,,IV+,II+,,,,,
Love a good fight.,II+I-,,II+,I-,,,,,
Love beautiful things.,V+II+,,V+,II+,,,,,
Love children's movies.,II+IV-,,II+,IV-,,,,,
Love flowers.,V+II+,,V+,II+,,,,,
Love large parties.,I+I+,,I+,I+,,,,,
Love life.,I+IV+,,I+,IV+,,,,,
Love order and regularity.,IV+III-,,IV+,III-,,,,,
Love to read challenging material.,V+IV+,,V+,IV+,,,,,
Love to reflect on things.,II+V+,,II+,V+,,,,,
Make a lot of noise.,I+IV-,,I+,IV-,,,,,
Make beautiful things.,V+II+,,V+,II+,,,,,
Make demands on others.,I+II-,,I+,II-,,,,,
Make enemies.,II+V-,,II+,V-,,,,,
Make friends easily.,I+II+,,I+,II+,,,,,
Make insightful remarks.,V+V+,,V+,V+,,,,,
Make myself the center of attention.,I+IV-,,I+,IV-,,,,,
Make others feel good.,II+I+,,II+,I+,,,,,
Make people feel at ease.,II+I+,,II+,I+,,,,,
Make people feel welcome.,II+I+,,II+,I+,,,,,
Make plans and stick to them.,III+I+,,III+,I+,,,,,
Make rash decisions.,III+II+,,III+,II+,,,,,
Make well-considered decisions.,III+V+,,III+,V+,,,,,
Meet challenges.,V+III+,,V+,III+,,,,,
Mess things up.,III+IV+,,III+,IV+,,,,,
Need a creative outlet.,V+III-,,V+,III-,,,,,
Need a lot of time to do things.,I+III+,,I+,III+,,,,,
Need a push to get started.,III+I+,,III+,I+,,,,,
Need things explained only once.,V+III+,,V+,III+,,,,,
Need to understand my motives.,V+IV-,,V+,IV-,,,,,
Never challenge things.,V+IV-,,V+,IV-,,,,,
Never spend more than I can afford.,III+I-,,III+,I-,,,,,
Never splurge.,III+I-,,III+,I-,,,,,
Never stop talking.,I+IV-,,I+,IV-,,,,,
Often make a fuss.,IV+I-,,IV+,I-,,,,,
Often make last-minute plans.,III+I-,,III+,I-,,,,,
Only feel comfortable with friends.,I+IV+,,I+,IV+,,,,,
Only talk about my own interests.,II+III+,,II+,III+,,,,,
Oppose authority.,II+V-,,II+,V-,,,,,
Overestimate my achievements.,II+III+,,II+,III+,,,,,
Pay attention to details.,III+V+,,III+,V+,,,,,
Pay no attention to my appearance.,III+II+,,III+,II+,,,,,
Play tricks on others.,II+I-,,II+,I-,,,,,
Postpone decisions.,III+I+,,III+,I+,,,,,
Prefer to be alone.,V+I-,,V+,I-,,,,,
Prefer to deal with strangers in a formal manner.,I+III-,,I+,III-,,,,,
Prefer variety to routine.,V+III-,,V+,III-,,,,,
Pretend to be concerned for others.,II+V+,,II+,V+,,,,,
Purchase only practical things.,III+I-,,III+,I-,,,,,
Put little time and effort into my work.,III+V+,,III+,V+,,,,,
Put off unpleasant tasks.,III+III+,,III+,III+,,,,,
Put people under pressure.,II+V-,,II+,V-,,,,,
Quickly get the idea of things.,V+IV+,,V+,IV+,,,,,
Quickly think up new ideas.,V+I+,,V+,I+,,,,,
Radiate joy.,I+II+,,I+,II+,,,,,
Rarely get irritated.,IV+II+,,IV+,II+,,,,,
Rarely look for a deeper meaning in things.,V+IV-,,V+,IV-,,,,,
Rarely notice my emotional reactions.,IV+V-,,IV+,V-,,,,,
Rarely overindulge.,IV+III+,,IV+,III+,,,,,
Rarely smile.,II+I+,,II+,I+,,,,,
React intensely.,IV+I-,,IV+,I-,,,,,
Reason logically.,III+II-,,III+,II-,,,,,
Reassure others.,II+III-,,II+,III-,,,,,
Remain calm under pressure.,IV+III+,,IV+,III+,,,,,
Remember my friends' birthdays.,II+IV-,,II+,IV-,,,,,
Respect authority.,II+III+,,II+,III+,,,,,
Respect others' feelings.,II+II+,,II+,II+,,,,,
Respect others.,II+IV+,,II+,IV+,,,,,
Respect the privacy of others.,II+III+,,II+,III+,,,,,
Retreat from others.,I+IV+,,I+,IV+,,,,,
Return borrowed items.,III+III+,,III+,III+,,,,,
Reveal little about myself.,I+II+,,I+,II+,,,,,
Say inappropriate things.,III+II+,,III+,II+,,,,,
Scheme against others.,II+III+,,II+,III+,,,,,
See beauty in things that others might not notice.,V+II+,,V+,II+,,,,,
See that rules are observed.,III+V-,,III+,V-,,,,,
Seek conflict.,II+I-,,II+,I-,,,,,
Seek danger.,II+V-,,II+,V-,,,,,
Seek explanations of things.,V+III+,,V+,III+,,,,,
Seek quiet.,I+V-,,I+,V-,,,,,
Seldom daydream.,V+III-,,V+,III-,,,,,
Seldom feel blue.,IV+I+,,IV+,I+,,,,,
Seldom get emotional.,IV+II-,,IV+,II-,,,,,
Seldom get lost in thought.,V+III-,,V+,III-,,,,,
Seldom get mad.,IV+IV+,,IV+,IV+,,,,,
Seldom joke around.,I+III-,,I+,III-,,,,,
Seldom notice details.,III+V+,,III+,V+,,,,,
Seldom take offense.,IV+IV+,,IV+,IV+,,,,,
Sense others' wishes.,II+V+,,II+,V+,,,,,
Set high standards for myself and others.,III+V+,,III+,V+,,,,,
Shoot my mouth off.,IV+I-,,IV+,I-,,,,,
Show a mastery of language.,V+V+,,V+,V+,,,,,
Show my feelings.,II+IV-,,II+,IV-,,,,,
Show my gratitude.,II+I+,,II+,I+,,,,,
Skip difficult words while reading.,V+V+,,V+,V+,,,,,
Snap at people.,IV+II+,,IV+,II+,,,,,
Speak loudly.,I+IV-,,I+,IV-,,,,,
Speak softly.,I+IV-,,I+,IV-,,,,,
Spend time reflecting on things.,V+I-,,V+,I-,,,,,
Start conversations.,I+I+,,I+,I+,,,,,
Stick to the rules.,III+II+,,III+,II+,,,,,
Stick up for myself.,I+III+,,I+,III+,,,,,
Suffer from others' sorrows.,II+IV-,,II+,IV-,,,,,
Sympathize with others' feelings.,II+II+,,II+,II+,,,,,
Sympathize with the homeless.,III+II-,,III+,II-,,,,,
Take an interest in other people's lives.,II+III-,,II+,III-,,,,,
Take charge.,I+V+,,I+,V+,,,,,
Take good care of my belongings.,III+V-,,III+,V-,,,,,
Take no time for others.,II+II+,,II+,II+,,,,,
Take others' interests into account.,II+II+,,II+,II+,,,,,
Take precautions.,III+I-,,III+,I-,,,,,
Take tasks too lightly.,III+III+,,III+,III+,,,,,
Take things as they come.,IV+II+,,IV+,II+,,,,,
Take time out for others.,II+I+,,II+,I+,,,,,
Take time to reflect on things.,V+II+,,V+,II+,,,,,
Talk even when I know I shouldn't.,IV+I-,,IV+,I-,,,,,
Talk to a lot of different people at parties.,I+I+,,I+,I+,,,,,
Talk too much.,I+IV-,,I+,IV-,,,,,
Tell tall stories about myself.,II+I-,,II+,I-,,,,,
Tend to analyze things.,V+IV-,,V+,IV-,,,,,
Tend to dislike impulsive people.,III+I-,,III+,I-,,,,,
Tend to dislike soft-hearted people.,II+III-,,II+,III-,,,,,
Tend to feel the same every day.,IV+V-,,IV+,V-,,,,,
Tend to think about something for hours.,V+IV-,,V+,IV-,,,,,
Think ahead.,III+V+,,III+,V+,,,,,
Think deeply about things.,V+IV-,,V+,IV-,,,,,
Think of others first.,II+V-,,II+,V-,,,,,
Think too highly of myself.,II+I-,,II+,I-,,,,,
Treat people as inferiors.,II+V+,,II+,V+,,,,,
Trust others.,II+IV+,,II+,IV+,,,,,
Trust what people say.,II+IV+,,II+,IV+,,,,,
Try not to think about the needy.,II+III-,,II+,III-,,,,,
Try to follow the rules.,II+III+,,II+,III+,,,,,
Try to impress others.,IV+III-,,IV+,III-,,,,,
Try to lead others.,I+III+,,I+,III+,,,,,
Try to outdo others.,II+V-,,II+,V-,,,,,
Try to stay in touch with myself.,II+V+,,II+,V+,,,,,
Try to understand myself.,V+V+,,V+,V+,,,,,
Turn my back on others.,II+III+,,II+,III+,,,,,
Turn plans into actions.,I+III+,,I+,III+,,,,,
Use difficult words.,V+V+,,V+,V+,,,,,
Use my brain.,V+III+,,V+,III+,,,,,
Value cooperation over competition.,II+I-,,II+,I-,,,,,
Wait for my turn.,I+II-,,I+,II-,,,,,
Want every detail taken care of.,III+IV-,,III+,IV-,,,,,
Want everything to add up perfectly.,IV+III-,,IV+,III-,,,,,
"Want everything to be ""just right.""",III+IV-,,III+,IV-,,,,,
Want things done my way.,IV+III-,,IV+,III-,,,,,
Want things to proceed according to plan.,III+IV-,,III+,IV-,,,,,
Want to be left alone.,V+I-,,V+,I-,,,,,
Want to be told I am right.,IV+III-,,IV+,III-,,,,,
Want to mean something to others.,II+IV-,,II+,IV-,,,,,
Want to please others.,II+IV-,,II+,IV-,,,,,
Warm up quickly to others.,I+II+,,I+,II+,,,,,
Wear my heart on my sleeve.,IV+II-,,IV+,II-,,,,,
Will do anything for others.,II+V-,,II+,V-,,,,,
Work according to a routine.,III+V-,,III+,V-,,,,,
Work on improving myself.,II+V+,,II+,V+,,,,,
Would never cheat on my taxes.,II+III+,,II+,III+,,,,,
Wouldn't harm a fly.,II+V-,,II+,V-,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
